"year","height"
2003,2.5
2003,4
2003,4
2003,2
2003,2.5
2003,3.5
2003,3
2003,2
2003,2.5
2003,1
2003,2
2003,4
2003,1
2003,2.5
2003,1.5
2003,1.5
2003,2
2003,3
2003,1.5
2003,1.5
2003,3
2005,3.5
2005,3
2005,4.5
2005,3
2005,1
2005,2.5
2005,2.5
2005,2.5
2005,2.5
2005,1.5
2005,1.5
2005,2
2005,2
2005,3
2005,1.5
2005,4
2005,6
2005,2.5
2005,1.5
2005,5.5
2005,4
2005,3.5
2005,2.5
2005,1
2005,2
2005,2
2005,4
2005,4
2005,3
2005,4.5
2005,2.5
2005,3
2005,5
2005,5
2005,4
2005,2
2005,2
2005,3
2005,2.5
2005,4
2005,2
2005,2.5
2005,2.5
2005,2
2005,3
2005,3.5
2005,2
2005,1.5
2005,3
2005,2.5
2005,2
2005,2
2005,4.5
2008,1
2008,1
2008,0.5
2008,3.5
2008,2.5
2008,2.5
2008,1.5
2008,2.5
2008,3
2008,4
2008,2.5
2008,2.5
2008,3.5
2008,7
2008,4.5
2008,2.5
2008,1.5
2008,3.5
2008,2.5
2008,1.5
2008,2
2008,2
2008,3
2008,4
2008,2.5
2008,4.5
2008,3
2008,4
2008,2
2008,3
2008,3
2008,3.5
2008,2.5
2008,1
2008,1.5
2008,2
2008,2.5
2008,4
2008,2
2008,2
2008,1
2008,2
2008,2
2008,1
2010,4
2010,3.5
2010,8.5
2010,5
2010,4.5
2010,5
2010,6
2010,6.5
2010,4.5
2010,3
2010,7
2010,8.5
2010,2.5
2010,2.5
2010,3.5
2010,6
2010,7
2010,4
2010,4.5
2010,5.5
2010,6.5
2010,3.5
2010,7.5
2010,5
2010,2
2010,2
2010,6
2010,5
2010,5
2010,3
2010,5.5
2010,2.5
2010,2.5
2010,5.5
2010,4.5
2010,5
2010,5
2010,3.5
2010,3.5
2010,2
2013,3.5
2013,5
2013,3.5
2013,5
2013,3
2013,4.5
2013,1
2013,1.5
2013,3.5
2013,2
2013,2.5
2013,3
2013,3
2013,5.5
2013,3
2013,3
2013,3
2013,1.5
2013,1.5
2013,5.5
2013,6.5
2013,6
2013,3.5
2013,4
2013,1.5
2013,4
2013,3
2013,4.5
2013,4
2013,4
2013,1.5
2013,5
2013,5
2013,4.5
2013,3
2013,1
2013,1.5
2013,3.5
2013,3
2013,8.5
2013,5
2013,5.5
2013,5
2013,2
2013,3.5
2013,5.5
2013,4.5
2013,5
2013,2
2013,3.5
2013,2
2013,5
2013,1
2013,3.5
2013,6
2013,5.5
2013,3.5
2013,4
2013,3
2013,4
2013,2.5
2013,6
2013,4.5
2013,3
2013,4.5
2013,3
2013,3.5
2013,5.5
2013,2.5
2013,2
